county_name,candidatevotes,totalvotes,Total,Born in US,Born in US Territory,Born Abroad,Naturalized,Not US Citizen,Total Pop,Total Male Pop,Total Young-adult Men,Total Midage Men,Total Female Pop,Total Young-adult Women,Total Midage Women,Total Pop Below Poverty,Total Pop At/Above Poverty,Total Disabled Pop,Total Children,Total Seniors,netvotes
ACCOMACK,5495,16962,32560,29524,119,192,782,1943,32227,15612,2624,5882,16517,2858,6474,19119,77562,4253,6764,7527,8.067149138302904
ALBEMARLE,33416,64657,108819,95653,469,1470,5183,6044,101147,51009,12685,18680,56466,13740,20763,23259,280182,9638,21823,19784,-10.676462033488402
ALLEGHANY,1250,8203,15030,14733,0,111,91,95,14744,7229,1341,2819,7525,1266,3052,6945,37287,2829,2837,3439,8.886270921191803
AMELIA,1719,7894,12970,12694,0,97,73,106,12873,6524,1176,2670,6356,1165,2667,4146,34473,1924,2757,2445,8.692490161444015
AMHERST,3871,17005,31782,30977,71,151,361,222,31002,15170,3071,6091,16423,3106,6596,10179,82827,4888,6213,6516,9.281544139655193
APPOMATTOX,1565,9268,15814,15536,0,34,70,174,15714,7611,1504,2998,8138,1570,3118,6381,40761,2520,3370,3189,9.055789625749592
ARLINGTON,91963,130739,236434,175875,1475,5639,27066,26379,233182,114462,36230,45099,116985,37853,44912,44856,654690,13976,42449,24904,-12.020056271333514
AUGUSTA,7874,42278,75754,73370,46,595,797,946,71470,34857,6497,13637,36787,6319,15129,19122,195288,9620,14426,15636,10.590314804984205
BATH,358,2501,4248,4102,0,59,12,75,4174,2201,366,889,1959,482,717,2343,10179,588,630,1076,7.773173857618608
BEDFORD,8705,48669,78965,75931,210,602,1259,963,78347,38577,7007,15756,39981,6836,16454,19074,215967,10698,15746,16759,10.75466359777662
BLAND,313,3479,6334,6307,0,10,8,9,5346,2658,529,847,2722,431,1168,1815,14223,1002,1025,1380,8.464214311096349
BOTETOURT,4231,21123,33440,32497,26,218,455,244,33071,16242,2756,6801,16835,2705,6973,6177,93036,4038,6436,7406,9.841505763010183
BRUNSWICK,2807,7948,16336,15872,6,194,25,239,13866,6936,1668,2327,7230,1198,2957,8109,33489,2749,2602,3414,-7.779048819992473
BUCHANAN,768,9957,21374,20946,4,78,133,213,20457,10048,1869,4297,10496,1884,4435,15282,46089,6213,3476,4583,9.506585680617935
BUCKINGHAM,2285,8129,17087,16705,17,119,119,127,14871,7217,1513,2819,7767,1339,2988,7215,37398,2494,3146,3179,7.671361140330939
CAMPBELL,5536,29901,55406,53438,56,220,531,1161,54707,26421,5825,10250,28391,5866,10925,17193,146928,7795,11064,10882,10.179223555409761
CAROLINE,4957,16288,30581,29247,8,328,461,537,28299,13162,1662,5806,15210,3001,5984,6963,77934,3677,7081,4838,7.213768850369323
CARROLL,1740,15657,29911,29171,37,81,239,383,29636,15030,2849,5908,14716,2356,5976,14217,74691,5496,5427,7230,9.88501803884654
CHARLES CITY,2024,4441,6965,6751,20,40,59,95,6944,3415,574,1473,3541,549,1573,2655,18177,1325,1053,1734,-7.453562207317756
CHARLOTTE,1532,6191,11953,11882,4,0,24,43,11671,5927,1010,2231,5890,1002,2349,8430,26583,2394,2624,2601,8.005033456045092
CHESTERFIELD,85505,203955,348500,313051,1749,4054,14798,14848,343883,165922,34519,65991,179788,36881,74080,67608,964041,41102,82693,51546,-10.21163379947012
CLARKE,3121,9337,14498,13608,10,130,437,313,14248,7150,1254,3046,7159,1054,3238,2583,40161,1815,2789,2928,7.841493078973247
CRAIG,313,3170,5103,5082,0,5,16,0,5096,2438,396,1074,2658,544,1071,1818,13470,839,895,1116,8.268218945881204
CULPEPER,8016,27116,51935,46288,360,537,2250,2500,50250,24421,4599,9842,26154,4948,10517,11769,138981,6736,12579,8090,9.286375066841467
CUMBERLAND,1422,5313,9869,9690,5,103,71,0,9869,4728,912,1854,5131,964,1983,3111,26496,1545,1949,2197,7.367708970930402
DICKENSON,1030,7307,14524,14419,0,46,36,23,14031,7043,1223,2977,7009,1237,2768,9852,32241,4411,2794,3053,9.046644293178847
DINWIDDIE,4265,15092,28686,27335,47,405,367,532,27945,13795,2790,5706,14518,2868,6033,9327,74508,4120,5953,4963,8.505525427492953
ESSEX,2131,6178,10960,10575,213,19,110,43,10866,4963,795,2065,5892,1152,2374,4902,27696,1712,2036,2433,4.304247658249556
FAIRFAX,321219,601243,1149439,762149,6310,25340,204969,150671,1138999,559621,123995,226410,575622,121108,239813,201255,3215742,81326,270133,153784,-13.12851243315514
FAUQUIER,14131,43671,70353,64408,120,863,1934,3028,69983,34588,6372,14585,35390,6518,14761,11484,198465,6758,16357,11385,9.62125726315884
FLOYD,2524,9412,15766,15172,0,94,256,244,15668,7765,1295,3284,7899,1336,3165,4749,42255,2083,3010,3574,8.770594353987898
FLUVANNA,6083,15846,26873,25622,51,403,525,272,25308,12424,2152,4961,13092,2402,5310,3597,72327,3340,5388,5303,7.301148261161951
FRANKLIN,5368,29704,56231,54836,55,150,592,598,54498,27463,4959,10800,28405,5132,11308,22959,140535,8489,10656,13013,10.127750478714676
FREDERICK,13101,48718,88054,80736,566,1130,2188,3434,86333,42850,8512,16759,43663,8382,17608,15114,243885,10032,20127,15125,10.192493749352572
GILES,1443,9178,16760,16458,10,73,68,151,16582,8117,1485,3326,8520,1593,3304,4893,44853,2199,3432,3497,9.152711270361177
GLOUCESTER,4993,22284,37362,35840,93,875,410,144,36774,17974,3404,7566,18856,3430,8009,8742,101580,6098,7424,6997,9.669156659575979
GOOCHLAND,5260,16952,23472,22187,66,297,692,230,22318,11153,1865,4522,11229,1720,5005,2922,64032,2766,4098,5172,8.789050736744539
GRAYSON,987,8131,15651,15124,34,84,218,191,14591,7124,1154,2847,7484,1154,3033,7158,36615,2848,2612,3808,9.209139661423707
GREENE,3343,11313,19734,18623,0,295,411,405,19615,9363,1798,3686,10219,2009,4046,5766,53079,2669,4702,3341,8.595264761053864
GREENSVILLE,1353,4574,11403,10987,35,128,134,119,8082,3818,1016,1307,4264,811,1553,3324,20922,1322,1726,1669,-7.262629092742653
HALIFAX,5551,18248,34295,33442,30,168,231,424,33540,15892,2921,5987,17618,2988,6695,15321,85299,6916,6989,7930,8.613230412622997
HANOVER,19046,70988,106538,101237,133,855,2468,1845,104759,52226,10180,21226,53903,9828,22742,15252,299025,11165,23346,18807,10.54592021924329
HENRICO,81563,183299,330076,282508,707,4008,19497,23356,327079,154871,35112,60772,172448,36838,69766,86055,895182,37346,74992,49839,-11.573681842900896
HENRY,6395,26105,51032,49262,228,165,938,439,50269,24143,3960,9841,26261,4246,10448,23556,127251,10751,9953,11956,9.62878751863805
HIGHLAND,233,1533,2202,2149,0,8,45,0,2185,950,138,311,1252,180,410,669,5886,487,309,854,7.207860420128869
ISLE OF WIGHT,6891,23456,37107,35243,92,389,684,699,36812,17966,3277,7579,18702,3168,7961,10422,100014,5642,7803,6880,9.061376232306877
JAMES CITY,21882,49639,76032,68999,506,1234,3164,2129,75145,35292,5870,13361,39214,6171,15102,14859,210576,9827,15013,18989,-8.476371240298757
KING AND QUEEN,984,4115,7011,6884,0,90,37,0,6995,3581,540,1555,3430,426,1512,2730,18255,871,1329,1649,7.450079907827879
KING GEORGE,4376,14227,26679,25315,182,420,493,269,26292,12983,2552,5383,13092,2549,5486,4170,74706,2683,6673,3432,8.713417680395215
KING WILLIAM,2054,10737,16985,16324,0,164,365,132,16884,8329,1753,3334,8601,1783,3542,3654,46998,2028,3822,2696,9.002085448322314
LANCASTER,2478,7152,10686,10080,0,127,276,203,10537,4740,724,1673,5797,695,2001,4608,27003,1788,1678,3766,6.489207240978165
LEE,761,9947,23723,23266,65,49,101,242,22147,11035,2036,4393,11223,1830,4620,18258,48183,5933,4332,5047,9.528939552350403
LOUDOUN,109335,224976,405312,293173,2146,7824,60821,41348,403125,199462,37884,86738,203459,39232,87423,39048,1170327,24481,113993,37651,-11.631312762547008
LOUISA,6092,21916,36654,34936,10,292,780,636,36372,17936,3245,7523,18606,3330,7824,12408,96708,6133,7411,7209,9.215327923387967
LUNENBURG,1495,6002,12294,11869,11,40,140,234,11314,5350,1025,2046,5984,886,2290,5055,28887,2307,2431,2656,7.713338088526648
MADISON,1911,8133,13208,12690,0,113,220,185,13014,6314,1154,2429,6760,1093,2701,3756,35286,1768,2742,2955,8.557182876557812
MATHEWS,1561,5829,8760,8587,0,29,140,4,8667,4322,676,1624,4332,502,1947,2199,23802,1603,1319,2586,8.331345482853374
MECKLENBURG,4150,16207,30726,29576,0,79,390,681,29672,14409,2771,5333,15383,2489,5978,15102,73914,5770,5724,7497,8.502282619891295
MIDDLESEX,1788,6785,10642,10236,0,155,160,91,10226,5076,705,1802,5242,804,2011,2973,27705,1734,1710,3286,8.134467656276124
MONTGOMERY,18499,45037,98495,88587,179,1339,2843,5547,88868,50477,22082,15093,47344,18096,15103,62637,203967,10239,15211,12236,-8.552174197608654
NELSON,3204,9318,14812,14205,0,88,268,251,14720,7412,1320,2740,7354,1113,3012,5061,39099,1995,2609,3972,6.877297134307935
NEW KENT,3143,14471,22310,21150,8,279,355,518,21630,10696,1997,4625,10856,1826,4874,3117,61773,2096,4382,3848,9.212338384598976
NORTHAMPTON,2814,6732,11826,11098,18,29,382,299,11527,5463,952,1954,6125,944,2364,5706,28875,2118,2321,3053,-7.2612255851226735
NORTHUMBERLAND,2467,7815,12151,11945,37,69,49,51,12103,5901,703,1945,6250,769,2276,4995,31314,1679,1778,4680,7.8103528481666675
NOTTOWAY,1945,7078,15338,14583,41,90,279,345,13562,6719,1545,2545,6871,1225,2667,6894,33792,2745,2946,2662,7.655390869013979
ORANGE,5510,20754,36501,34564,20,333,767,817,35850,17609,3300,7184,18304,3197,7476,11493,96057,5851,7660,7096,9.089527764492603
PAGE,2149,12514,23862,23190,69,91,348,164,23615,11638,2214,4760,12014,2061,4896,9471,61374,4534,4771,4950,9.447465727034324
